"lakename","year4","daynum","sampledate","depth","depth_id","DIC_mg","doc","absorbance","tpc"
"West Long Lake",1989,188,1989-07-07,"Epilimnion",-1,NA,8.91,NA,1.09
"Paul Lake",1989,191,1989-07-10,"Metalimnion",-2,NA,5.55,NA,3.53
"Paul Lake",1989,191,1989-07-10,"Epilimnion",-1,NA,5.66,NA,0.83
"Peter Lake",1989,192,1989-07-11,"Metalimnion",-2,NA,4.88,NA,1.1
"Peter Lake",1989,192,1989-07-11,"Epilimnion",-1,NA,6.18,NA,0.83
"Tuesday Lake",1989,193,1989-07-12,"Metalimnion",-2,NA,9.79,NA,0.91
"Tuesday Lake",1989,193,1989-07-12,"Epilimnion",-1,NA,9.22,NA,0.84
"Paul Lake",1989,198,1989-07-17,"Metalimnion",-2,NA,5.43,NA,2.34
"Paul Lake",1989,198,1989-07-17,"Epilimnion",-1,NA,7.43,NA,0.56
"Peter Lake",1989,199,1989-07-18,"Metalimnion",-2,NA,4.61,NA,0.99
"Peter Lake",1989,199,1989-07-18,"Epilimnion",-1,NA,5.08,NA,0.61
"Tuesday Lake",1989,200,1989-07-19,"Metalimnion",-2,NA,9.56,NA,0.7
"Tuesday Lake",1989,200,1989-07-19,"Epilimnion",-1,NA,9.04,NA,0.71
"East Long Lake",1989,202,1989-07-21,"Epilimnion",-1,NA,8.77,NA,1.2
"West Long Lake",1989,202,1989-07-21,"Epilimnion",-1,NA,8.51,NA,0.86
"Paul Lake",1989,205,1989-07-24,"Metalimnion",-2,NA,4.73,NA,1.2
"Paul Lake",1989,205,1989-07-24,"Epilimnion",-1,NA,5.33,NA,0.64
"Peter Lake",1989,206,1989-07-25,"Metalimnion",-2,NA,5,NA,0.9
"Peter Lake",1989,206,1989-07-25,"Epilimnion",-1,NA,5.61,NA,0.62
"Tuesday Lake",1989,207,1989-07-26,"Metalimnion",-2,NA,9.71,NA,0.97
"Tuesday Lake",1989,207,1989-07-26,"Epilimnion",-1,NA,10.33,NA,0.83
"Paul Lake",1989,212,1989-07-31,"Metalimnion",-2,NA,4.73,NA,1.63
"Paul Lake",1989,212,1989-07-31,"Epilimnion",-1,NA,5.11,NA,0.64
"Peter Lake",1989,213,1989-08-01,"Metalimnion",-2,NA,4.77,NA,1.21
"Peter Lake",1989,213,1989-08-01,"Epilimnion",-1,NA,5.22,NA,0.6
"Tuesday Lake",1989,214,1989-08-02,"Metalimnion",-2,NA,9.82,NA,1.75
"Tuesday Lake",1989,214,1989-08-02,"Epilimnion",-1,NA,9.58,NA,1.25
"East Long Lake",1989,216,1989-08-04,"Epilimnion",-1,NA,8.46,NA,0.7
"West Long Lake",1989,216,1989-08-04,"Epilimnion",-1,NA,8.43,NA,0.89
"Paul Lake",1989,219,1989-08-07,"Metalimnion",-2,NA,6.03,NA,2.27
"Paul Lake",1989,219,1989-08-07,"Epilimnion",-1,NA,6.49,NA,1.43
"Peter Lake",1989,220,1989-08-08,"Metalimnion",-2,NA,5.47,NA,0.95
"Peter Lake",1989,220,1989-08-08,"Epilimnion",-1,NA,5.56,NA,0.23
"Tuesday Lake",1989,221,1989-08-09,"Metalimnion",-2,NA,9.5,NA,1.45
"Tuesday Lake",1989,221,1989-08-09,"Epilimnion",-1,NA,9.05,NA,0.86
"Paul Lake",1989,226,1989-08-14,"Metalimnion",-2,NA,5.07,NA,1.56
"Paul Lake",1989,226,1989-08-14,"Epilimnion",-1,NA,5.8,NA,1.13
"Peter Lake",1989,227,1989-08-15,"Metalimnion",-2,NA,4.98,NA,0.69
"Peter Lake",1989,227,1989-08-15,"Epilimnion",-1,NA,5.34,NA,0.46
"Tuesday Lake",1989,228,1989-08-16,"Metalimnion",-2,NA,9.17,NA,1.23
"Tuesday Lake",1989,228,1989-08-16,"Epilimnion",-1,NA,9.19,NA,0.89
"Paul Lake",1989,233,1989-08-21,"Metalimnion",-2,NA,4.59,NA,0.93
"Paul Lake",1989,233,1989-08-21,"Epilimnion",-1,NA,5.65,NA,0.89
"Peter Lake",1989,234,1989-08-22,"Metalimnion",-2,NA,4.94,NA,0.8
"Peter Lake",1989,234,1989-08-22,"Epilimnion",-1,NA,5.1,NA,0.44
"East Long Lake",1989,235,1989-08-23,"Epilimnion",-1,NA,7.77,NA,0.96
"Tuesday Lake",1989,235,1989-08-23,"Metalimnion",-2,NA,11.54,NA,0.94
"Tuesday Lake",1989,235,1989-08-23,"Epilimnion",-1,NA,8.94,NA,0.96
"West Long Lake",1989,235,1989-08-23,"Epilimnion",-1,NA,7.88,NA,0.61
"Paul Lake",1989,240,1989-08-28,"Metalimnion",-2,NA,5.14,NA,1.18
"Paul Lake",1989,240,1989-08-28,"Epilimnion",-1,NA,5.41,NA,0.75
"Peter Lake",1989,241,1989-08-29,"Metalimnion",-2,NA,5.05,NA,0.79
"Peter Lake",1989,241,1989-08-29,"Epilimnion",-1,NA,4.86,NA,0.83
"Tuesday Lake",1989,242,1989-08-30,"Metalimnion",-2,NA,7.48,NA,0.76
"Tuesday Lake",1989,242,1989-08-30,"Epilimnion",-1,NA,8.83,NA,0.72
"Paul Lake",1989,247,1989-09-04,"Metalimnion",-2,NA,4.94,NA,1.13
"Paul Lake",1989,247,1989-09-04,"Epilimnion",-1,NA,5.36,NA,0.87
"Peter Lake",1989,248,1989-09-05,"Metalimnion",-2,NA,4.83,NA,0.78
"Peter Lake",1989,248,1989-09-05,"Epilimnion",-1,NA,5.02,NA,0.49
"Tuesday Lake",1989,249,1989-09-06,"Metalimnion",-2,NA,7.61,NA,2.02
"Tuesday Lake",1989,249,1989-09-06,"Epilimnion",-1,NA,6.93,NA,1.55
"East Long Lake",1989,251,1989-09-08,"Epilimnion",-1,NA,6.99,NA,0.58
"West Long Lake",1989,251,1989-09-08,"Epilimnion",-1,NA,8.1,NA,0.74
"Paul Lake",1990,141,1990-05-21,"Metalimnion",-2,NA,4.46,NA,0.99
"Paul Lake",1990,141,1990-05-21,"Epilimnion",-1,NA,4.64,NA,0.87
"Peter Lake",1990,142,1990-05-22,"Metalimnion",-2,NA,4.57,NA,0.59
"Peter Lake",1990,142,1990-05-22,"Epilimnion",-1,NA,4.7,NA,0.58
"Tuesday Lake",1990,143,1990-05-23,"Metalimnion",-2,NA,9.15,NA,1.19
"Tuesday Lake",1990,143,1990-05-23,"Epilimnion",-1,NA,9.05,NA,0.97
"Paul Lake",1990,148,1990-05-28,"Metalimnion",-2,NA,4.48,NA,1.67
"Paul Lake",1990,148,1990-05-28,"Epilimnion",-1,NA,4.57,NA,1.02
"Peter Lake",1990,149,1990-05-29,"Metalimnion",-2,NA,4.73,NA,1.17
"Peter Lake",1990,149,1990-05-29,"Epilimnion",-1,NA,4.85,NA,1.35
"Tuesday Lake",1990,150,1990-05-30,"Metalimnion",-2,NA,9.28,NA,2.02
"Tuesday Lake",1990,150,1990-05-30,"Epilimnion",-1,NA,9.56,NA,1.59
"West Long Lake",1990,152,1990-06-01,"Epilimnion",-1,NA,7.31,NA,0.68
"Paul Lake",1990,155,1990-06-04,"Metalimnion",-2,NA,4.26,NA,1.94
"Paul Lake",1990,155,1990-06-04,"Epilimnion",-1,NA,4.47,NA,0.54
"Peter Lake",1990,156,1990-06-05,"Metalimnion",-2,NA,4.25,NA,0.88
"Peter Lake",1990,156,1990-06-05,"Epilimnion",-1,NA,4.39,NA,0.58
"Tuesday Lake",1990,157,1990-06-06,"Metalimnion",-2,NA,9.18,NA,0.9
"Tuesday Lake",1990,157,1990-06-06,"Epilimnion",-1,NA,11.8,NA,0.84
"Paul Lake",1990,162,1990-06-11,"Metalimnion",-2,NA,4.61,NA,0.77
"Paul Lake",1990,162,1990-06-11,"Epilimnion",-1,NA,4.88,NA,0.5
"Peter Lake",1990,163,1990-06-12,"Metalimnion",-2,NA,4.59,NA,0.92
"Peter Lake",1990,163,1990-06-12,"Epilimnion",-1,NA,5.01,NA,0.64
"Tuesday Lake",1990,164,1990-06-13,"Metalimnion",-2,NA,9.37,NA,1.12
"Tuesday Lake",1990,164,1990-06-13,"Epilimnion",-1,NA,8.63,NA,0.99
"East Long Lake",1990,166,1990-06-15,"Epilimnion",-1,NA,8.07,NA,0.58
"West Long Lake",1990,166,1990-06-15,"Epilimnion",-1,NA,7.57,NA,0.59
"Paul Lake",1990,169,1990-06-18,"Metalimnion",-2,NA,4.67,NA,2.61
"Paul Lake",1990,169,1990-06-18,"Epilimnion",-1,NA,4.48,NA,0.64
"Peter Lake",1990,170,1990-06-19,"Metalimnion",-2,NA,4.35,NA,1.04
"Peter Lake",1990,170,1990-06-19,"Epilimnion",-1,NA,4.62,NA,0.65
"Tuesday Lake",1990,171,1990-06-20,"Metalimnion",-2,NA,9.39,NA,1.32
"Tuesday Lake",1990,171,1990-06-20,"Epilimnion",-1,NA,8.69,NA,0.9
"Paul Lake",1990,176,1990-06-25,"Metalimnion",-2,NA,4.2,NA,1.34
"Paul Lake",1990,176,1990-06-25,"Epilimnion",-1,NA,4.64,NA,0.76
"Peter Lake",1990,177,1990-06-26,"Metalimnion",-2,NA,4.91,NA,1.16
"Peter Lake",1990,177,1990-06-26,"Epilimnion",-1,NA,4.66,NA,0.42
"Tuesday Lake",1990,178,1990-06-27,"Metalimnion",-2,NA,9.5,NA,1.04
"Tuesday Lake",1990,178,1990-06-27,"Epilimnion",-1,NA,9.07,NA,1.02
"East Long Lake",1990,180,1990-06-29,"Epilimnion",-1,NA,7.96,NA,0.68
"West Long Lake",1990,180,1990-06-29,"Epilimnion",-1,NA,7.69,NA,0.65
"Paul Lake",1990,183,1990-07-02,"Metalimnion",-2,NA,4.37,NA,1.2
"Paul Lake",1990,183,1990-07-02,"Epilimnion",-1,NA,4.78,NA,0.68
"Peter Lake",1990,184,1990-07-03,"Metalimnion",-2,NA,4.42,NA,0.65
"Peter Lake",1990,184,1990-07-03,"Epilimnion",-1,NA,4.99,NA,0.57
"Tuesday Lake",1990,185,1990-07-04,"Metalimnion",-2,NA,9.5,NA,0.92
"Tuesday Lake",1990,185,1990-07-04,"Epilimnion",-1,NA,8.85,NA,1.04
"Paul Lake",1990,190,1990-07-09,"Metalimnion",-2,NA,4.08,NA,0.91
"Paul Lake",1990,190,1990-07-09,"Epilimnion",-1,NA,4.67,NA,0.79
